2025-07-04 10:22:58,845 - INFO - === Starting new sender session ===
2025-07-04 10:22:58,845 - INFO - Starting video sender...
2025-07-04 10:22:58,846 - INFO - Streaming test_video.mp4 to 127.0.0.1:5005
2025-07-04 10:22:58,846 - INFO - Press Ctrl+C to stop
2025-07-04 10:22:58,846 - ERROR - Error: Video file not found at test_video.mp4
2025-07-04 10:47:08,329 - INFO - === Starting new sender session ===
2025-07-04 10:47:08,329 - INFO - Starting video sender...
2025-07-04 10:47:08,329 - INFO - Streaming test_video.mp4 to 127.0.0.1:5005
2025-07-04 10:47:08,329 - INFO - Press Ctrl+C to stop
2025-07-04 10:47:08,329 - ERROR - Error: Video file not found at test_video.mp4
2025-07-24 16:59:17,336 - INFO - === Starting new sender session ===
2025-07-24 16:59:17,337 - INFO - Starting video sender...
2025-07-24 16:59:17,337 - INFO - Streaming test_video.mp4 to 127.0.0.1:5005
2025-07-24 16:59:17,337 - INFO - Press Ctrl+C to stop
2025-07-24 16:59:17,337 - ERROR - Error: Video file not found at test_video.mp4
2025-07-24 17:00:50,494 - INFO - === Starting new sender session ===
2025-07-24 17:00:50,494 - INFO - Starting video sender...
2025-07-24 17:00:50,494 - INFO - Streaming test_video.mp4 to 127.0.0.1:5005
2025-07-24 17:00:50,494 - INFO - Press Ctrl+C to stop
2025-07-24 17:00:50,536 - INFO - Starting video stream from test_video.mp4
2025-07-24 17:00:50,537 - INFO - Sending to 127.0.0.1:5005
2025-07-24 17:00:56,746 - INFO - Sent end of frame 48, packet 70/70
2025-07-24 17:00:56,789 - INFO - Frame 49: Sending 69 packets, total size 95648 bytes
2025-07-24 17:00:56,790 - INFO - Sent start of frame 49, total packets: 69
2025-07-24 17:00:56,872 - INFO - Sent end of frame 49, packet 68/68
2025-07-24 17:00:56,915 - INFO - Frame 50: Sending 70 packets, total size 95809 bytes
2025-07-24 17:00:56,915 - INFO - Sent start of frame 50, total packets: 70
2025-07-24 17:00:56,998 - INFO - Sent end of frame 50, packet 69/69
2025-07-24 17:00:57,041 - INFO - Frame 51: Sending 70 packets, total size 95900 bytes
2025-07-24 17:00:57,042 - INFO - Sent start of frame 51, total packets: 70
2025-07-24 17:00:57,125 - INFO - Sent end of frame 51, packet 69/69
2025-07-24 17:00:57,168 - INFO - Frame 52: Sending 71 packets, total size 97922 bytes
2025-07-24 17:00:57,168 - INFO - Sent start of frame 52, total packets: 71
2025-07-24 17:00:57,253 - INFO - Sent end of frame 52, packet 70/70
2025-07-24 17:00:57,297 - INFO - Frame 53: Sending 70 packets, total size 95942 bytes
2025-07-24 17:00:57,298 - INFO - Sent start of frame 53, total packets: 70
2025-07-24 17:00:57,381 - INFO - Sent end of frame 53, packet 69/69
2025-07-24 17:00:57,423 - INFO - Frame 54: Sending 70 packets, total size 96733 bytes
2025-07-24 17:00:57,423 - INFO - Sent start of frame 54, total packets: 70
2025-07-24 17:00:57,508 - INFO - Sent end of frame 54, packet 69/69
2025-07-24 17:00:57,552 - INFO - Frame 55: Sending 70 packets, total size 96387 bytes
2025-07-24 17:00:57,552 - INFO - Sent start of frame 55, total packets: 70
2025-07-24 17:00:57,637 - INFO - Sent end of frame 55, packet 69/69
2025-07-24 17:00:57,680 - INFO - Frame 56: Sending 71 packets, total size 98421 bytes
2025-07-24 17:00:57,681 - INFO - Sent start of frame 56, total packets: 71
2025-07-24 17:00:57,765 - INFO - Sent end of frame 56, packet 70/70
2025-07-24 17:00:57,809 - INFO - Frame 57: Sending 70 packets, total size 96440 bytes
2025-07-24 17:00:57,809 - INFO - Sent start of frame 57, total packets: 70
2025-07-24 17:00:57,894 - INFO - Sent end of frame 57, packet 69/69
2025-07-24 17:00:57,939 - INFO - Frame 58: Sending 70 packets, total size 96662 bytes
2025-07-24 17:00:57,940 - INFO - Sent start of frame 58, total packets: 70
2025-07-24 17:00:58,027 - INFO - Sent end of frame 58, packet 69/69
2025-07-24 17:00:58,073 - INFO - Frame 59: Sending 70 packets, total size 96335 bytes
2025-07-24 17:00:58,073 - INFO - Sent start of frame 59, total packets: 70
2025-07-24 17:00:58,159 - INFO - Sent end of frame 59, packet 69/69
2025-07-24 17:00:58,205 - INFO - Frame 60: Sending 71 packets, total size 98130 bytes
2025-07-24 17:00:58,205 - INFO - Sent start of frame 60, total packets: 71
2025-07-24 17:00:58,292 - INFO - Sent end of frame 60, packet 70/70
2025-07-24 17:00:58,337 - INFO - Frame 61: Sending 70 packets, total size 96130 bytes
2025-07-24 17:00:58,337 - INFO - Sent start of frame 61, total packets: 70
2025-07-24 17:00:58,421 - INFO - Sent end of frame 61, packet 69/69
2025-07-24 17:00:58,468 - INFO - Frame 62: Sending 70 packets, total size 96667 bytes
2025-07-24 17:00:58,468 - INFO - Sent start of frame 62, total packets: 70
2025-07-24 17:00:58,555 - INFO - Sent end of frame 62, packet 69/69
2025-07-24 17:00:58,600 - INFO - Frame 63: Sending 70 packets, total size 96449 bytes
2025-07-24 17:00:58,600 - INFO - Sent start of frame 63, total packets: 70
2025-07-24 17:00:58,685 - INFO - Sent end of frame 63, packet 69/69
2025-07-24 17:00:58,730 - INFO - Frame 64: Sending 72 packets, total size 98571 bytes
2025-07-24 17:00:58,730 - INFO - Sent start of frame 64, total packets: 72
2025-07-24 17:00:58,819 - INFO - Sent end of frame 64, packet 71/71
2025-07-24 17:00:58,863 - INFO - Frame 65: Sending 70 packets, total size 96594 bytes
2025-07-24 17:00:58,863 - INFO - Sent start of frame 65, total packets: 70
2025-07-24 17:00:58,951 - INFO - Sent end of frame 65, packet 69/69
2025-07-24 17:00:58,996 - INFO - Frame 66: Sending 70 packets, total size 96855 bytes
2025-07-24 17:00:58,996 - INFO - Sent start of frame 66, total packets: 70
2025-07-24 17:00:59,121 - INFO - Sent end of frame 66, packet 69/69
2025-07-24 17:00:59,166 - INFO - Frame 67: Sending 70 packets, total size 96776 bytes
2025-07-24 17:00:59,166 - INFO - Sent start of frame 67, total packets: 70
2025-07-24 17:00:59,253 - INFO - Sent end of frame 67, packet 69/69
2025-07-24 17:00:59,297 - INFO - Frame 68: Sending 72 packets, total size 98861 bytes
2025-07-24 17:00:59,297 - INFO - Sent start of frame 68, total packets: 72
2025-07-24 17:00:59,386 - INFO - Sent end of frame 68, packet 71/71
